Entfernung,Start,Ziel
4,DREIECK SCHWAEBISCH HALL,KUPFERZELL (A 6)
9,DREIECK SCHWAEBISCH HALL,ILSHOFEN / WOLPERTSHAUSEN (A 6)
9,ILSHOFEN / WOLPERTSHAUSEN (A 6),DREIECK SCHWAEBISCH HALL
7,ILSHOFEN / WOLPERTSHAUSEN (A 6),KIRCHBERG (A 6)
7,KIRCHBERG (A 6),ILSHOFEN / WOLPERTSHAUSEN (A 6)
9,KIRCHBERG (A 6),CRAILSHEIM (A 6)
9,CRAILSHEIM (A 6),KIRCHBERG (A 6)
8,CRAILSHEIM (A 6),SCHNELLDORF (A 6)
8,SCHNELLDORF (A 6),CRAILSHEIM (A 6)
5,SCHNELLDORF (A 6),KREUZ FEUCHTWANGEN / CRAILSHEIM
5,KREUZ FEUCHTWANGEN / CRAILSHEIM,SCHNELLDORF (A 6)
5,KREUZ FEUCHTWANGEN / CRAILSHEIM,FEUCHTWANGEN - NORD (A 6)
5,FEUCHTWANGEN - NORD (A 6),KREUZ FEUCHTWANGEN / CRAILSHEIM
12,FEUCHTWANGEN - NORD (A 6),AURACH (A 6)
12,AURACH (A 6),FEUCHTWANGEN - NORD (A 6)
5,AURACH (A 6),HERRIEDEN (A 6)
5,HERRIEDEN (A 6),AURACH (A 6)
6,HERRIEDEN (A 6),ANSBACH (A 6)
6,ANSBACH (A 6),HERRIEDEN (A 6)
11,ANSBACH (A 6),LICHTENAU (A 6)
11,LICHTENAU (A 6),ANSBACH (A 6)
6,LICHTENAU (A 6),NEUENDETTELSAU (A 6)
6,NEUENDETTELSAU (A 6),LICHTENAU (A 6)
16,NEUENDETTELSAU (A 6),SCHWABACH - WEST (A 6)
16,SCHWABACH - WEST (A 6),NEUENDETTELSAU (A 6)
4,SCHWABACH - WEST (A 6),SCHWABACH - SUED (A 6)
4,SCHWABACH - SUED (A 6),SCHWABACH - WEST (A 6)
2,SCHWABACH - SUED (A 6),KREUZ ROTH
2,KREUZ ROTH,SCHWABACH - SUED (A 6)
7,KREUZ ROTH,KREUZ NUERNBERG - SUED
7,KREUZ NUERNBERG - SUED,KREUZ ROTH
3,KREUZ NUERNBERG - SUED,NUERNBERG - LANGWASSER (A 6)
3,NUERNBERG - LANGWASSER (A 6),KREUZ NUERNBERG - SUED
2,NUERNBERG - LANGWASSER (A 6),KREUZ NUERNBERG - OST
2,KREUZ NUERNBERG - OST,NUERNBERG - LANGWASSER (A 6)
7,KREUZ NUERNBERG - OST,KREUZ ALTDORF
7,KREUZ ALTDORF,KREUZ NUERNBERG - OST
3,KREUZ ALTDORF,ALTDORF / LEINBURG (A 6)
3,ALTDORF / LEINBURG (A 6),KREUZ ALTDORF
16,ALTDORF / LEINBURG (A 6),ALFELD (A 6)
16,ALFELD (A 6),ALTDORF / LEINBURG (A 6)
9,ALFELD (A 6),SULZBACH - ROSENBERG (A 6)
9,SULZBACH - ROSENBERG (A 6),ALFELD (A 6)
9,SULZBACH - ROSENBERG (A 6),AMBERG - WEST (A 6)
9,AMBERG - WEST (A 6),SULZBACH - ROSENBERG (A 6)
11,AMBERG - WEST (A 6),AMBERG - SUED (A 6)
11,AMBERG - SUED (A 6),AMBERG - WEST (A 6)
5,AMBERG - SUED (A 6),AMBERG - OST (A 6)
5,AMBERG - OST (A 6),AMBERG - SUED (A 6)
7,AMBERG - OST (A 6),SCHMIDGADEN (A 6)
7,SCHMIDGADEN (A 6),AMBERG - OST (A 6)
7,SCHMIDGADEN (A 6),NABBURG - WEST (A 6)
7,NABBURG - WEST (A 6),SCHMIDGADEN (A 6)
6,NABBURG - WEST (A 6),KREUZ OBERPFAELZER WALD
6,KREUZ OBERPFAELZER WALD,NABBURG - WEST (A 6)
3,KREUZ OBERPFAELZER WALD,WERNBERG - OST (A 6)
3,WERNBERG - OST (A 6),KREUZ OBERPFAELZER WALD
8,WERNBERG - OST (A 6),LEUCHTENBERG (A 6)
8,LEUCHTENBERG (A 6),WERNBERG - OST (A 6)
6,LEUCHTENBERG (A 6),VOHENSTRAUSS - WEST (A 6)
6,VOHENSTRAUSS - WEST (A 6),LEUCHTENBERG (A 6)
2,VOHENSTRAUSS - WEST (A 6),VOHENSTRAUSS - OST (A 6)
2,VOHENSTRAUSS - OST (A 6),VOHENSTRAUSS - WEST (A 6)
5,VOHENSTRAUSS - OST (A 6),PLEYSTEIN (A 6)
5,PLEYSTEIN (A 6),VOHENSTRAUSS - OST (A 6)
6,PLEYSTEIN (A 6),WAIDHAUS (A 6)
6,WAIDHAUS (A 6),PLEYSTEIN (A 6)
3,WAIDHAUS (A 6),Bundesgrenze Waidhaus D-CZ (A 6)
3,Bundesgrenze Waidhaus D-CZ (A 6),WAIDHAUS (A 6)
4,Bundesgrenze Ellund DK-D (A 7),FLENSBURG / HARRISLEE (A 7)
4,FLENSBURG / HARRISLEE (A 7),Bundesgrenze Ellund DK-D (A 7)
5,FLENSBURG / HARRISLEE (A 7),KREUZ FLENSBURG
5,KREUZ FLENSBURG,FLENSBURG / HARRISLEE (A 7)
8,KREUZ FLENSBURG,TARP (A 7)
8,TARP (A 7),KREUZ FLENSBURG
16,TARP (A 7),SCHLESWIG / SCHUBY (A 7)
16,SCHLESWIG / SCHUBY (A 7),TARP (A 7)
6,SCHLESWIG / SCHUBY (A 7),SCHLESWIG / JAGEL (A 7)
6,SCHLESWIG / JAGEL (A 7),SCHLESWIG / SCHUBY (A 7)
12,SCHLESWIG / JAGEL (A 7),OWSCHLAG (A 7)
12,OWSCHLAG (A 7),SCHLESWIG / JAGEL (A 7)
7,OWSCHLAG (A 7),RENDSBURG / BUEDELSDORF (A 7)
7,RENDSBURG / BUEDELSDORF (A 7),OWSCHLAG (A 7)
6,RENDSBURG / BUEDELSDORF (A 7),KREUZ RENDSBURG
6,KREUZ RENDSBURG,RENDSBURG / BUEDELSDORF (A 7)
12,KREUZ RENDSBURG,WARDER (A 7)
12,WARDER (A 7),KREUZ RENDSBURG
7,WARDER (A 7),BORDESHOLM (A 7)
7,BORDESHOLM (A 7),WARDER (A 7)
1,BORDESHOLM (A 7),DREIECK BORDESHOLM
1,DREIECK BORDESHOLM,BORDESHOLM (A 7)
12,DREIECK BORDESHOLM,NEUMUENSTER - NORD (A 7)
12,NEUMUENSTER - NORD (A 7),DREIECK BORDESHOLM
3,NEUMUENSTER - NORD (A 7),NEUMUENSTER - MITTE (A 7)
3,NEUMUENSTER - MITTE (A 7),NEUMUENSTER - NORD (A 7)
5,NEUMUENSTER - MITTE (A 7),NEUMUENSTER - SUED (A 7)
5,NEUMUENSTER - SUED (A 7),NEUMUENSTER - MITTE (A 7)
11,NEUMUENSTER - SUED (A 7),GROSSENASPE (A 7)
11,GROSSENASPE (A 7),NEUMUENSTER - SUED (A 7)
2,GROSSENASPE (A 7),BAD BRAMSTEDT (A 7)
2,BAD BRAMSTEDT (A 7),GROSSENASPE (A 7)
4,BAD BRAMSTEDT (A 7),KREUZ SCHMALFELD
4,KREUZ SCHMALFELD,BAD BRAMSTEDT (A 7)
1,KREUZ SCHMALFELD,KALTENKIRCHEN (A 7)
1,KALTENKIRCHEN (A 7),KREUZ SCHMALFELD
4,KALTENKIRCHEN (A 7),LENTFOEHRDEN (A 7)
4,LENTFOEHRDEN (A 7),KALTENKIRCHEN (A 7)
4,LENTFOEHRDEN (A 7),HENSTEDT - ULZBURG (A 7)
4,HENSTEDT - ULZBURG (A 7),LENTFOEHRDEN (A 7)
3,HENSTEDT - ULZBURG (A 7),ELLERAU (A 7)
3,ELLERAU (A 7),HENSTEDT - ULZBURG (A 7)
7,ELLERAU (A 7),QUICKBORN (A 7)
7,QUICKBORN (A 7),ELLERAU (A 7)
4,QUICKBORN (A 7),NORDERSTEDT - MITTE (A 7)
4,NORDERSTEDT - MITTE (A 7),QUICKBORN (A 7)
1,NORDERSTEDT - MITTE (A 7),HAMBURG - SCHNELSEN - NORD (A 7)
1,HAMBURG - SCHNELSEN - NORD (A 7),NORDERSTEDT - MITTE (A 7)
2,HAMBURG - SCHNELSEN - NORD (A 7),HAMBURG - SCHNELSEN (A 7)
2,HAMBURG - SCHNELSEN (A 7),HAMBURG - SCHNELSEN - NORD (A 7)
2,HAMBURG - SCHNELSEN (A 7),DREIECK HAMBURG - NORDWEST
2,DREIECK HAMBURG - NORDWEST,HAMBURG - SCHNELSEN (A 7)
2,DREIECK HAMBURG - NORDWEST,HAMBURG - STELLINGEN (A 7)
2,HAMBURG - STELLINGEN (A 7),DREIECK HAMBURG - NORDWEST
2,HAMBURG - STELLINGEN (A 7),HAMBURG - VOLKSPARK (A 7)
2,HAMBURG - VOLKSPARK (A 7),HAMBURG - STELLINGEN (A 7)
1,HAMBURG - VOLKSPARK (A 7),HAMBURG - BAHRENFELD (A 7)
1,HAMBURG - BAHRENFELD (A 7),HAMBURG - VOLKSPARK (A 7)
1,HAMBURG - BAHRENFELD (A 7),HAMBURG - OTHMARSCHEN (A 7)
1,HAMBURG - OTHMARSCHEN (A 7),HAMBURG - BAHRENFELD (A 7)
5,HAMBURG - OTHMARSCHEN (A 7),DREIECK HAMBURG - HAFEN
5,DREIECK HAMBURG - HAFEN,HAMBURG - OTHMARSCHEN (A 7)
3,DREIECK HAMBURG - HAFEN,KREUZ HAMBURG - SUEDERELBE
3,KREUZ HAMBURG - SUEDERELBE,DREIECK HAMBURG - HAFEN
1,KREUZ HAMBURG - SUEDERELBE,HAMBURG - MOORBURG (A 7)
1,HAMBURG - MOORBURG (A 7),KREUZ HAMBURG - SUEDERELBE
2,HAMBURG - MOORBURG (A 7),HAMBURG - HEIMFELD (A 7)
2,HAMBURG - HEIMFELD (A 7),HAMBURG - MOORBURG (A 7)
3,HAMBURG - HEIMFELD (A 7),DREIECK HAMBURG - SUEDWEST
3,DREIECK HAMBURG - SUEDWEST,HAMBURG - HEIMFELD (A 7)
1,DREIECK HAMBURG - SUEDWEST,HAMBURG - MARMSTORF (A 7)
1,HAMBURG - MARMSTORF (A 7),DREIECK HAMBURG - SUEDWEST
4,HAMBURG - MARMSTORF (A 7),SEEVETAL - FLEESTEDT (A 7)
4,SEEVETAL - FLEESTEDT (A 7),HAMBURG - MARMSTORF (A 7)
3,SEEVETAL - FLEESTEDT (A 7),MASCHENER KREUZ
3,MASCHENER KREUZ,SEEVETAL - FLEESTEDT (A 7)
2,MASCHENER KREUZ,HORSTER DREIECK
2,HORSTER DREIECK,MASCHENER KREUZ
4,HORSTER DREIECK,SEEVETAL - RAMELSLOH (A 7)
4,SEEVETAL - RAMELSLOH (A 7),HORSTER DREIECK
5,SEEVETAL - RAMELSLOH (A 7),THIESHOPE (A 7)
5,THIESHOPE (A 7),SEEVETAL - RAMELSLOH (A 7)
8,THIESHOPE (A 7),GARLSTORF (A 7)
8,GARLSTORF (A 7),THIESHOPE (A 7)
5,GARLSTORF (A 7),DREIECK EGESTORF
5,DREIECK EGESTORF,GARLSTORF (A 7)
4,DREIECK EGESTORF,EVENDORF (A 7)
4,EVENDORF (A 7),DREIECK EGESTORF
10,EVENDORF (A 7),BISPINGEN (A 7)
10,BISPINGEN (A 7),EVENDORF (A 7)
12,BISPINGEN (A 7),SOLTAU - OST (A 7)
12,SOLTAU - OST (A 7),BISPINGEN (A 7)
7,SOLTAU - OST (A 7),SOLTAU - SUED (A 7)
7,SOLTAU - SUED (A 7),SOLTAU - OST (A 7)
10,SOLTAU - SUED (A 7),DORFMARK (A 7)
10,DORFMARK (A 7),SOLTAU - SUED (A 7)
7,DORFMARK (A 7),BAD FALLINGBOSTEL (A 7)
7,BAD FALLINGBOSTEL (A 7),DORFMARK (A 7)
7,BAD FALLINGBOSTEL (A 7),DREIECK WALSRODE
7,DREIECK WALSRODE,BAD FALLINGBOSTEL (A 7)
1,DREIECK WALSRODE,WESTENHOLZ (A 7)
1,WESTENHOLZ (A 7),DREIECK WALSRODE
9,WESTENHOLZ (A 7),Raststätte Allertal  (mit Anschlussstelle) (A 7)
9,Raststätte Allertal  (mit Anschlussstelle) (A 7),WESTENHOLZ (A 7)
2,Raststätte Allertal  (mit Anschlussstelle) (A 7),SCHWARMSTEDT (A 7)
2,SCHWARMSTEDT (A 7),Raststätte Allertal  (mit Anschlussstelle) (A 7)
1,SCHWARMSTEDT (A 7),KREUZ ALLERTAL
1,KREUZ ALLERTAL,SCHWARMSTEDT (A 7)
8,KREUZ ALLERTAL,BERKHOF (A 7)
8,BERKHOF (A 7),KREUZ ALLERTAL
7,BERKHOF (A 7),MELLENDORF (A 7)
7,MELLENDORF (A 7),BERKHOF (A 7)
2,MELLENDORF (A 7),DREIECK HANNOVER - NORD
2,DREIECK HANNOVER - NORD,MELLENDORF (A 7)
6,DREIECK HANNOVER - NORD,GROSSBURGWEDEL (A 7)
6,GROSSBURGWEDEL (A 7),DREIECK HANNOVER - NORD
7,GROSSBURGWEDEL (A 7),ALTWARMBUECHEN (A 7)
7,ALTWARMBUECHEN (A 7),GROSSBURGWEDEL (A 7)
1,ALTWARMBUECHEN (A 7),KREUZ HANNOVER / KIRCHHORST
1,KREUZ HANNOVER / KIRCHHORST,ALTWARMBUECHEN (A 7)
4,KREUZ HANNOVER / KIRCHHORST,KREUZ HANNOVER - OST
4,KREUZ HANNOVER - OST,KREUZ HANNOVER / KIRCHHORST
4,KREUZ HANNOVER - OST,HANNOVER - ANDERTEN (A 7)
4,HANNOVER - ANDERTEN (A 7),KREUZ HANNOVER - OST
6,HANNOVER - ANDERTEN (A 7),LAATZEN (A 7)
6,LAATZEN (A 7),HANNOVER - ANDERTEN (A 7)
1,LAATZEN (A 7),DREIECK HANNOVER - SUED
1,DREIECK HANNOVER - SUED,LAATZEN (A 7)
15,DREIECK HANNOVER - SUED,HILDESHEIM - DRISPENSTEDT (A 7)
15,HILDESHEIM - DRISPENSTEDT (A 7),DREIECK HANNOVER - SUED
3,HILDESHEIM - DRISPENSTEDT (A 7),HILDESHEIM (A 7)
3,HILDESHEIM (A 7),HILDESHEIM - DRISPENSTEDT (A 7)
6,HILDESHEIM (A 7),Raststätte / Kleinraststätte Hildesheimer Börde (mit Anschlussstelle) (A 7)
6,Raststätte / Kleinraststätte Hildesheimer Börde (mit Anschlussstelle) (A 7),HILDESHEIM (A 7)
8,Raststätte / Kleinraststätte Hildesheimer Börde (mit Anschlussstelle) (A 7),DERNEBURG / SALZGITTER (A 7)
8,DERNEBURG / SALZGITTER (A 7),Raststätte / Kleinraststätte Hildesheimer Börde (mit Anschlussstelle) (A 7)
3,DERNEBURG / SALZGITTER (A 7),DREIECK SALZGITTER
3,DREIECK SALZGITTER,DERNEBURG / SALZGITTER (A 7)
10,DREIECK SALZGITTER,BOCKENEM (A 7)
10,BOCKENEM (A 7),DREIECK SALZGITTER
6,BOCKENEM (A 7),RHUEDEN (A 7)
6,RHUEDEN (A 7),BOCKENEM (A 7)
7,RHUEDEN (A 7),SEESEN (A 7)
7,SEESEN (A 7),RHUEDEN (A 7)
12,SEESEN (A 7),ECHTE (A 7)
12,ECHTE (A 7),SEESEN (A 7)
9,ECHTE (A 7),NORTHEIM - NORD (A 7)
9,NORTHEIM - NORD (A 7),ECHTE (A 7)
5,NORTHEIM - NORD (A 7),NORTHEIM - WEST (A 7)
5,NORTHEIM - WEST (A 7),NORTHEIM - NORD (A 7)
8,NORTHEIM - WEST (A 7),NOERTEN - HARDENBERG (A 7)
8,NOERTEN - HARDENBERG (A 7),NORTHEIM - WEST (A 7)
10,NOERTEN - HARDENBERG (A 7),DREIECK GOETTINGEN - NORD
10,DREIECK GOETTINGEN - NORD,NOERTEN - HARDENBERG (A 7)
3,DREIECK GOETTINGEN - NORD,GOETTINGEN (A 7)
3,GOETTINGEN (A 7),DREIECK GOETTINGEN - NORD
8,GOETTINGEN (A 7),DREIECK DRAMMETAL
8,DREIECK DRAMMETAL,GOETTINGEN (A 7)
10,DREIECK DRAMMETAL,HANNOVERSCH MUENDEN - HEDEMUENDEN (A 7)
10,HANNOVERSCH MUENDEN - HEDEMUENDEN (A 7),DREIECK DRAMMETAL
11,HANNOVERSCH MUENDEN - HEDEMUENDEN (A 7),HANNOVERSCH - MUENDEN / STAUFENBERG - LUTTERBERG (A 7)
11,HANNOVERSCH - MUENDEN / STAUFENBERG - LUTTERBERG (A 7),HANNOVERSCH MUENDEN - HEDEMUENDEN (A 7)
9,HANNOVERSCH - MUENDEN / STAUFENBERG - LUTTERBERG (A 7),KASSEL - NORD (A 7)
9,KASSEL - NORD (A 7),HANNOVERSCH - MUENDEN / STAUFENBERG - LUTTERBERG (A 7)
1,KASSEL - NORD (A 7),LOSSETALDREIECK
1,LOSSETALDREIECK,KASSEL - NORD (A 7)
3,LOSSETALDREIECK,KREUZ KASSEL - MITTE
3,KREUZ KASSEL - MITTE,LOSSETALDREIECK
2.5,KREUZ KASSEL - MITTE,DREIECK KASSEL - SUED
2.5,DREIECK KASSEL - SUED,KREUZ KASSEL - MITTE
7,DREIECK KASSEL - SUED,GUXHAGEN (A 7)
7,GUXHAGEN (A 7),DREIECK KASSEL - SUED
9,GUXHAGEN (A 7),MELSUNGEN (A 7)
9,MELSUNGEN (A 7),GUXHAGEN (A 7)
4,MELSUNGEN (A 7),MALSFELD (A 7)
4,MALSFELD (A 7),MELSUNGEN (A 7)
10,MALSFELD (A 7),HOMBERG (7) (A 7)
10,HOMBERG (7) (A 7),MALSFELD (A 7)
14,HOMBERG (7) (A 7),BAD HERSFELD - WEST (A 7)
14,BAD HERSFELD - WEST (A 7),HOMBERG (7) (A 7)
10,BAD HERSFELD - WEST (A 7),KIRCHHEIMER DREIECK
10,KIRCHHEIMER DREIECK,BAD HERSFELD - WEST (A 7)
1,KIRCHHEIMER DREIECK,KIRCHHEIM (A 7)
1,KIRCHHEIM (A 7),KIRCHHEIMER DREIECK
4,KIRCHHEIM (A 7),HATTENBACHER DREIECK (Nordteil)
4,HATTENBACHER DREIECK (Nordteil),KIRCHHEIM (A 7)
1,HATTENBACHER DREIECK (Nordteil),HATTENBACHER DREIECK (O)
1,HATTENBACHER DREIECK (O),HATTENBACHER DREIECK (Nordteil)
4,HATTENBACHER DREIECK (O),NIEDERAULA (A 7)
4,NIEDERAULA (A 7),HATTENBACHER DREIECK (O)
9,NIEDERAULA (A 7),Raststätte Großenmoor  (mit Anschlussstelle) (A 7)
9,Raststätte Großenmoor  (mit Anschlussstelle) (A 7),NIEDERAULA (A 7)
7,Raststätte Großenmoor  (mit Anschlussstelle) (A 7),HUENFELD / SCHLITZ (A 7)
7,HUENFELD / SCHLITZ (A 7),Raststätte Großenmoor  (mit Anschlussstelle) (A 7)
10,HUENFELD / SCHLITZ (A 7),FULDA - NORD (A 7)
10,FULDA - NORD (A 7),HUENFELD / SCHLITZ (A 7)
3,FULDA - NORD (A 7),DREIECK FULDA - MITTE
3,DREIECK FULDA - MITTE,FULDA - NORD (A 7)
9,DREIECK FULDA - MITTE,DREIECK FULDA
9,DREIECK FULDA,DREIECK FULDA - MITTE
19,DREIECK FULDA,BAD BRUECKENAU - VOLKERS (A 7)
19,BAD BRUECKENAU - VOLKERS (A 7),DREIECK FULDA
8,BAD BRUECKENAU - VOLKERS (A 7),BAD BRUECKENAU / WILDFLECKEN (A 7)
8,BAD BRUECKENAU / WILDFLECKEN (A 7),BAD BRUECKENAU - VOLKERS (A 7)
14,BAD BRUECKENAU / WILDFLECKEN (A 7),BAD KISSINGEN / OBERTHULBA (A 7)
14,BAD KISSINGEN / OBERTHULBA (A 7),BAD BRUECKENAU / WILDFLECKEN (A 7)
9,BAD KISSINGEN / OBERTHULBA (A 7),HAMMELBURG (A 7)
9,HAMMELBURG (A 7),BAD KISSINGEN / OBERTHULBA (A 7)
10,HAMMELBURG (A 7),WASSERLOSEN (A 7)
10,WASSERLOSEN (A 7),HAMMELBURG (A 7)
8,WASSERLOSEN (A 7),KREUZ SCHWEINFURT / WERNECK
8,KREUZ SCHWEINFURT / WERNECK,WASSERLOSEN (A 7)
11,KREUZ SCHWEINFURT / WERNECK,DREIECK GRAMSCHATZ ?
11,DREIECK GRAMSCHATZ ?,KREUZ SCHWEINFURT / WERNECK
2,DREIECK GRAMSCHATZ ?,GRAMSCHATZER WALD (A 7)
2,GRAMSCHATZER WALD (A 7),DREIECK GRAMSCHATZ ?
8,GRAMSCHATZER WALD (A 7),KREUZ WUERZBURG / ESTENFELD
8,KREUZ WUERZBURG / ESTENFELD,GRAMSCHATZER WALD (A 7)
10,KREUZ WUERZBURG / ESTENFELD,KREUZ BIEBELRIED
10,KREUZ BIEBELRIED,KREUZ WUERZBURG / ESTENFELD
2,KREUZ BIEBELRIED,KITZINGEN (A 7)
2,KITZINGEN (A 7),KREUZ BIEBELRIED
13,KITZINGEN (A 7),MARKTBREIT (A 7)
13,MARKTBREIT (A 7),KITZINGEN (A 7)
8,MARKTBREIT (A 7),GOLLHOFEN (A 7)
8,GOLLHOFEN (A 7),MARKTBREIT (A 7)
10,GOLLHOFEN (A 7),UFFENHEIM - LANGENSTEINACH (A 7)
10,UFFENHEIM - LANGENSTEINACH (A 7),GOLLHOFEN (A 7)
8,UFFENHEIM - LANGENSTEINACH (A 7),BAD WINDSHEIM (A 7)
8,BAD WINDSHEIM (A 7),UFFENHEIM - LANGENSTEINACH (A 7)
9,BAD WINDSHEIM (A 7),ROTHENBURG (A 7)
9,ROTHENBURG (A 7),BAD WINDSHEIM (A 7)
14,ROTHENBURG (A 7),WOERNITZ (A 7)
14,WOERNITZ (A 7),ROTHENBURG (A 7)
7,WOERNITZ (A 7),KREUZ FEUCHTWANGEN / CRAILSHEIM
7,KREUZ FEUCHTWANGEN / CRAILSHEIM,WOERNITZ (A 7)
4,KREUZ FEUCHTWANGEN / CRAILSHEIM,FEUCHTWANGEN - WEST (A 7)
4,FEUCHTWANGEN - WEST (A 7),KREUZ FEUCHTWANGEN / CRAILSHEIM
11,FEUCHTWANGEN - WEST (A 7),DINKELSBUEHL / FICHTENAU (A 7)
11,DINKELSBUEHL / FICHTENAU (A 7),FEUCHTWANGEN - WEST (A 7)
17,DINKELSBUEHL / FICHTENAU (A 7),ELLWANGEN (A 7)
17,ELLWANGEN (A 7),DINKELSBUEHL / FICHTENAU (A 7)
8,ELLWANGEN (A 7),KREUZ AALEN / WESTHAUSEN
8,KREUZ AALEN / WESTHAUSEN,ELLWANGEN (A 7)
10,KREUZ AALEN / WESTHAUSEN,AALEN / OBERKOCHEN (A 7)
10,AALEN / OBERKOCHEN (A 7),KREUZ AALEN / WESTHAUSEN
13,AALEN / OBERKOCHEN (A 7),HEIDENHEIM (A 7)
13,HEIDENHEIM (A 7),AALEN / OBERKOCHEN (A 7)
10,HEIDENHEIM (A 7),GIENGEN / HERBRECHTINGEN (A 7)
10,GIENGEN / HERBRECHTINGEN (A 7),HEIDENHEIM (A 7)
6,GIENGEN / HERBRECHTINGEN (A 7),NIEDERSTOTZINGEN (A 7)
6,NIEDERSTOTZINGEN (A 7),GIENGEN / HERBRECHTINGEN (A 7)
11,NIEDERSTOTZINGEN (A 7),KREUZ LANGENAU
11,KREUZ LANGENAU,NIEDERSTOTZINGEN (A 7)
4,KREUZ LANGENAU,KREUZ ULM / ELCHINGEN
4,KREUZ ULM / ELCHINGEN,KREUZ LANGENAU
6,KREUZ ULM / ELCHINGEN,KREUZ NERSINGEN
6,KREUZ NERSINGEN,KREUZ ULM / ELCHINGEN
6,KREUZ NERSINGEN,NEU - ULM (A 7)
6,NEU - ULM (A 7),KREUZ NERSINGEN
5,NEU - ULM (A 7),DREIECK HITTISTETTEN
5,DREIECK HITTISTETTEN,NEU - ULM (A 7)
5,DREIECK HITTISTETTEN,VOEHRINGEN (A 7)
5,VOEHRINGEN (A 7),DREIECK HITTISTETTEN
4,VOEHRINGEN (A 7),ILLERTISSEN - NORD (A 7)
4,ILLERTISSEN - NORD (A 7),VOEHRINGEN (A 7)
4,ILLERTISSEN - NORD (A 7),ILLERTISSEN (A 7)
4,ILLERTISSEN (A 7),ILLERTISSEN - NORD (A 7)
8,ILLERTISSEN (A 7),ALTENSTADT (A 7)
8,ALTENSTADT (A 7),ILLERTISSEN (A 7)
5,ALTENSTADT (A 7),DETTINGEN (A 7)
5,DETTINGEN (A 7),ALTENSTADT (A 7)
8,DETTINGEN (A 7),KREUZ BERKHEIM
8,KREUZ BERKHEIM,DETTINGEN (A 7)
5,KREUZ BERKHEIM,KREUZ MEMMINGEN
5,KREUZ MEMMINGEN,KREUZ BERKHEIM
5,KREUZ MEMMINGEN,MEMMINGEN - SUED (A 7)
5,MEMMINGEN - SUED (A 7),KREUZ MEMMINGEN
5,MEMMINGEN - SUED (A 7),WORINGEN (A 7)
5,WORINGEN (A 7),MEMMINGEN - SUED (A 7)
5,WORINGEN (A 7),BAD GROENENBACH (A 7)
5,BAD GROENENBACH (A 7),WORINGEN (A 7)
10,BAD GROENENBACH (A 7),DIETMANNSRIED (A 7)
10,DIETMANNSRIED (A 7),BAD GROENENBACH (A 7)
7,DIETMANNSRIED (A 7),KEMPTEN - LEUBAS (A 7)
7,KEMPTEN - LEUBAS (A 7),DIETMANNSRIED (A 7)
2,KEMPTEN - LEUBAS (A 7),KEMPTEN (A 7)
2,KEMPTEN (A 7),KEMPTEN - LEUBAS (A 7)
3,KEMPTEN (A 7),BETZIGAU (A 7)
3,BETZIGAU (A 7),KEMPTEN (A 7)
3,BETZIGAU (A 7),DREIECK ALLGAEU
3,DREIECK ALLGAEU,BETZIGAU (A 7)
9,DREIECK ALLGAEU,OY - MITTELBERG (A 7)
9,OY - MITTELBERG (A 7),DREIECK ALLGAEU
5,OY - MITTELBERG (A 7),NESSELWANG (A 7)
5,NESSELWANG (A 7),OY - MITTELBERG (A 7)
16,NESSELWANG (A 7),FUESSEN (A 7)
16,FUESSEN (A 7),NESSELWANG (A 7)
6,FUESSEN (A 7),Bundesgrenze Füssen D-A (A 7)
6,Bundesgrenze Füssen D-A (A 7),FUESSEN (A 7)
1,DREIECK SAARLOUIS,DILLINGEN - SUED (A 8)
1,DILLINGEN - SUED (A 8),DREIECK SAARLOUIS
1,DILLINGEN - SUED (A 8),SAARLOUIS - STEINRAUSCH (A 8)
1,SAARLOUIS - STEINRAUSCH (A 8),DILLINGEN - SUED (A 8)
2,SAARLOUIS - STEINRAUSCH (A 8),NALBACH (A 8)
2,NALBACH (A 8),SAARLOUIS - STEINRAUSCH (A 8)
1,NALBACH (A 8),SAARWELLINGEN (A 8)
1,SAARWELLINGEN (A 8),NALBACH (A 8)
2,SAARWELLINGEN (A 8),SCHWALBACH (A 8)
2,SCHWALBACH (A 8),SAARWELLINGEN (A 8)
4,SCHWALBACH (A 8),SCHWALBACH / SCHWARZENHOLZ (A 8)
4,SCHWALBACH / SCHWARZENHOLZ (A 8),SCHWALBACH (A 8)
6,SCHWALBACH / SCHWARZENHOLZ (A 8),HEUSWEILER (A 8)
6,HEUSWEILER (A 8),SCHWALBACH / SCHWARZENHOLZ (A 8)
6,HEUSWEILER (A 8),KREUZ SAARBRUECKEN
6,KREUZ SAARBRUECKEN,HEUSWEILER (A 8)
3,KREUZ SAARBRUECKEN,MERCHWEILER (A 8)
3,MERCHWEILER (A 8),KREUZ SAARBRUECKEN
2,MERCHWEILER (A 8),FRIEDRICHSTHAL - BILDSTOCK (A 8)
2,FRIEDRICHSTHAL - BILDSTOCK (A 8),MERCHWEILER (A 8)
1,FRIEDRICHSTHAL - BILDSTOCK (A 8),DREIECK FRIEDRICHSTHAL
1,DREIECK FRIEDRICHSTHAL,FRIEDRICHSTHAL - BILDSTOCK (A 8)
3,DREIECK FRIEDRICHSTHAL,ELVERSBERG (A 8)
3,ELVERSBERG (A 8),DREIECK FRIEDRICHSTHAL
1,ELVERSBERG (A 8),NEUNKIRCHEN - HEINITZ (A 8)
