Start,Ziel,Entfernung
HERMSDORF - OST (A 4),RUEDERSDORF (A 4),8
RUEDERSDORF (A 4),GERA - LANGENBERG (A 4),6
GERA - LANGENBERG (A 4),GERA (A 4),4
GERA (A 4),GERA - LEUMNITZ (A 4),3
GERA - LEUMNITZ (A 4),RONNEBURG (A 4),6
RONNEBURG (A 4),SCHMOELLN (A 4),8
SCHMOELLN (A 4),MEERANE (A 4),9
MEERANE (A 4),GLAUCHAU - WEST (A 4),3
GLAUCHAU - WEST (A 4),GLAUCHAU - OST (A 4),4
GLAUCHAU - OST (A 4),HOHENSTEIN - ERNSTTHAL (A 4),8
HOHENSTEIN - ERNSTTHAL (A 4),WUESTENBRAND (A 4),8
WUESTENBRAND (A 4),LIMBACH - OBERFROHNA (A 4),5
LIMBACH - OBERFROHNA (A 4),KREUZ CHEMNITZ,3
KREUZ CHEMNITZ,CHEMNITZ - MITTE (A 4),2
CHEMNITZ - MITTE (A 4),CHEMNITZ - GLOESA (A 4),4
CHEMNITZ - GLOESA (A 4),CHEMNITZ - OST (A 4),6
CHEMNITZ - OST (A 4),FRANKENBERG (A 4),6
FRANKENBERG (A 4),HAINICHEN (A 4),7
HAINICHEN (A 4),BERBERSDORF (A 4),8
BERBERSDORF (A 4),SIEBENLEHN (A 4),8
SIEBENLEHN (A 4),DREIECK NOSSEN,6
DREIECK NOSSEN,WILSDRUFF (A 4),11
WILSDRUFF (A 4),DREIECK DRESDEN - WEST,6
DREIECK DRESDEN - WEST,DRESDEN - ALTSTADT (A 4),3
DRESDEN - ALTSTADT (A 4),DRESDEN - NEUSTADT (A 4),3
DRESDEN - NEUSTADT (A 4),DRESDEN - WILDER MANN (A 4),3
DRESDEN - WILDER MANN (A 4),DRESDEN - HELLERAU (A 4),2
DRESDEN - HELLERAU (A 4),DRESDEN - FLUGHAFEN (A 4),2
DRESDEN - FLUGHAFEN (A 4),DREIECK DRESDEN - NORD,1
DREIECK DRESDEN - NORD,HERMSDORF (A 4),4
HERMSDORF (A 4),OTTENDORF - OKRILLA (A 4),3
OTTENDORF - OKRILLA (A 4),PULSNITZ (A 4),2
PULSNITZ (A 4),OHORN (A 4),7
OHORN (A 4),BURKAU (A 4),2
BURKAU (A 4),UHYST (A 4),6
UHYST (A 4),SALZENFORST (A 4),10
SALZENFORST (A 4),BAUTZEN - WEST (A 4),4
BAUTZEN - WEST (A 4),BAUTZEN - OST (A 4),4
BAUTZEN - OST (A 4),WEISSENBERG (A 4),15
WEISSENBERG (A 4),NIEDER SEIFERSDORF (A 4),7
NIEDER SEIFERSDORF (A 4),KODERSDORF (A 4),11
KODERSDORF (A 4),GOERLITZ (A 4),5
GOERLITZ (A 4),Bundesgrenze Görlitz D-PL (A 4),4
HATTENBACHER DREIECK (O),HATTENBACHER DREIECK (S),2
HATTENBACHER DREIECK (S),ALSFELD - OST (A 5),18
ALSFELD - OST (A 5),ALSFELD - WEST (A 5),5
ALSFELD - WEST (A 5),OHMTALDREIECK,13
OHMTALDREIECK,NIEDER GEMUENDEN (A 5),2
NIEDER GEMUENDEN (A 5),HOMBERG (A 5),8
HOMBERG (A 5),GRUENBERG (A 5),5
GRUENBERG (A 5),REISKIRCHENER DREIECK,8
REISKIRCHENER DREIECK,REISKIRCHEN (A 5),2
REISKIRCHEN (A 5),FERNWALD (A 5),6
FERNWALD (A 5),GAMBACHER KREUZ,9
GAMBACHER KREUZ,KREUZ BUTZBACH,5
KREUZ BUTZBACH,BAD NAUHEIM (A 5),3
BAD NAUHEIM (A 5),OBER - MOERLEN (A 5),3
OBER - MOERLEN (A 5),FRIEDBERG - NORD (A 5),3
FRIEDBERG - NORD (A 5),FRIEDBERG (A 5),8
FRIEDBERG (A 5),BAD HOMBURGER KREUZ,10
BAD HOMBURGER KREUZ,NORDWESTKREUZ FRANKFURT,9
NORDWESTKREUZ FRANKFURT,WESTKREUZ FRANKFURT,2
WESTKREUZ FRANKFURT,FRANKFURT - WESTHAFEN (A 5),3.2
FRANKFURT - WESTHAFEN (A 5),FRANKFURT - NIEDERRAD (A 5),1
FRANKFURT - NIEDERRAD (A 5),FRANKFURT - FLUGHAFEN - NORD (A 5),3
FRANKFURT - FLUGHAFEN - NORD (A 5),FRANKFURTER KREUZ,0.5
FRANKFURTER KREUZ,ZEPPELINHEIM (A 5),2
ZEPPELINHEIM (A 5),LANGEN / MOERFELDEN (A 5),6
LANGEN / MOERFELDEN (A 5),DARMSTADT - NORD (A 5),7
DARMSTADT - NORD (A 5),WEITERSTADT (A 5),3
WEITERSTADT (A 5),DREIECK DARMSTADT,1
DREIECK DARMSTADT,DARMSTAEDTER KREUZ,3
DARMSTAEDTER KREUZ,DREIECK DARMSTADT,3
DREIECK DARMSTADT,DARMSTADT - EBERSTADT (A 5),3
DARMSTADT - EBERSTADT (A 5),SEEHEIM - JUGENHEIM (A 5),4
SEEHEIM - JUGENHEIM (A 5),ZWINGENBERG (A 5),6
ZWINGENBERG (A 5),BENSHEIM (A 5),6
BENSHEIM (A 5),HEPPENHEIM (A 5),3
HEPPENHEIM (A 5),HEMSBACH (A 5),6
HEMSBACH (A 5),KREUZ WEINHEIM,5
KREUZ WEINHEIM,HIRSCHBERG (A 5),5
HIRSCHBERG (A 5),LADENBURG (A 5),3
LADENBURG (A 5),DOSSENHEIM (A 5),3
DOSSENHEIM (A 5),KREUZ HEIDELBERG / SCHWETZINGEN,4
KREUZ HEIDELBERG / SCHWETZINGEN,WALLDORF / WIESLOCH (A 5),5
WALLDORF / WIESLOCH (A 5),KREUZ WALLDORF,8
KREUZ WALLDORF,KRONAU (A 5),2
KRONAU (A 5),KREUZ BRUCHSAL,9
KREUZ BRUCHSAL,KREUZ KARLSRUHE - NORD,16
KREUZ KARLSRUHE - NORD,KARLSRUHE - DURLACH (A 5),2
KARLSRUHE - DURLACH (A 5),KARLSRUHE - MITTE (A 5),2
KARLSRUHE - MITTE (A 5),DREIECK KARLSRUHE,2
DREIECK KARLSRUHE,ETTLINGEN (A 5),3
ETTLINGEN (A 5),KARLSRUHE - SUED (A 5),2
KARLSRUHE - SUED (A 5),ETTLINGEN - SUED (A 5),2
ETTLINGEN - SUED (A 5),KREUZ MALSCH,2
KREUZ MALSCH,RASTATT - NORD (A 5),9
RASTATT - NORD (A 5),RASTATT - SUED (A 5),5
RASTATT - SUED (A 5),KREUZ BADEN - BADEN,5
KREUZ BADEN - BADEN,BUEHL (A 5),9
BUEHL (A 5),ACHERN (A 5),11
ACHERN (A 5),KREUZ APPENWEIER,14
KREUZ APPENWEIER,OFFENBURG (A 5),8
OFFENBURG (A 5),OFFENBURG - SUED  (VB) (A 5),3
OFFENBURG - SUED  (VB) (A 5),LAHR (A 5),12
LAHR (A 5),ETTENHEIM (A 5),9
ETTENHEIM (A 5),RUST (A 5),3
RUST (A 5),HERBOLZHEIM (A 5),3
HERBOLZHEIM (A 5),RIEGEL (A 5),8
RIEGEL (A 5),TENINGEN (A 5),5
TENINGEN (A 5),KREUZ FREIBURG - NORD,6
KREUZ FREIBURG - NORD,KREUZ FREIBURG - MITTE,5
KREUZ FREIBURG - MITTE,FREIBURG - SUED (A 5),6
FREIBURG - SUED (A 5),BAD KROZINGEN (A 5),6
BAD KROZINGEN (A 5),HARTHEIM / HEITERSHEIM (A 5),8
HARTHEIM / HEITERSHEIM (A 5),MUELLHEIM / NEUENBURG (A 5),11
MUELLHEIM / NEUENBURG (A 5),DREIECK NEUENBURG,4
DREIECK NEUENBURG,EFRINGEN - KIRCHEN (A 5),12
EFRINGEN - KIRCHEN (A 5),DREIECK WEIL,8
DREIECK WEIL,WEIL / HUENINGEN (A 5),3
SAARBRUECKEN - GOLDENE BREMM (A 6),DREIECK SAARBRUECKEN,0.5
DREIECK SAARBRUECKEN,SAARBRUECKEN - FECHINGEN (A 6),4
SAARBRUECKEN - FECHINGEN (A 6),ST. INGBERT - WEST (A 6),1
ST. INGBERT - WEST (A 6),ST. INGBERT - MITTE (A 6),7
ST. INGBERT - MITTE (A 6),ROHRBACH (A 6),3
ROHRBACH (A 6),KREUZ NEUNKIRCHEN,3
KREUZ NEUNKIRCHEN,HOMBURG (A 6),7
HOMBURG (A 6),WALDMOHR (A 6),5
WALDMOHR (A 6),BRUCHMUEHLBACH - MIESAU (A 6),6
BRUCHMUEHLBACH - MIESAU (A 6),KREUZ LANDSTUHL - WEST,6
KREUZ LANDSTUHL - WEST,RAMSTEIN - MIESENBACH (A 6),7
RAMSTEIN - MIESENBACH (A 6),KAISERSLAUTERN - EINSIEDLERHOF (A 6),2
KAISERSLAUTERN - EINSIEDLERHOF (A 6),KAISERSLAUTERN - WEST (A 6),4
KAISERSLAUTERN - WEST (A 6),DREIECK KAISERSLAUTERN,7
DREIECK KAISERSLAUTERN,DREIECK KAISERSLAUTERN,0.5
DREIECK KAISERSLAUTERN,KAISERSLAUTERN - OST (A 6),1
KAISERSLAUTERN - OST (A 6),ENKENBACH - ALSENBORN (A 6),7
ENKENBACH - ALSENBORN (A 6),WATTENHEIM (A 6),14
WATTENHEIM (A 6),GRUENSTADT (A 6),9
GRUENSTADT (A 6),HESSHEIM (A 6),9
HESSHEIM (A 6),KREUZ FRANKENTHAL,1
KREUZ FRANKENTHAL,FRANKENTHAL (A 6),3
FRANKENTHAL (A 6),KREUZ LUDWIGSHAFEN - NORD,3
KREUZ LUDWIGSHAFEN - NORD,MANNHEIM - SANDHOFEN (A 6),4
MANNHEIM - SANDHOFEN (A 6),VIERNHEIMER DREIECK,8
VIERNHEIMER DREIECK,VIERNHEIMER KREUZ,3
VIERNHEIMER KREUZ,KREUZ MANNHEIM,7
KREUZ MANNHEIM,KREUZ MANNHEIM / SCHWETZINGEN,6
KREUZ MANNHEIM / SCHWETZINGEN,SCHWETZINGEN / HOCKENHEIM (A 6),6
SCHWETZINGEN / HOCKENHEIM (A 6),DREIECK HOCKENHEIM,3
DREIECK HOCKENHEIM,KREUZ WALLDORF,7
KREUZ WALLDORF,WIESLOCH / RAUENBERG (A 6),5
WIESLOCH / RAUENBERG (A 6),SINSHEIM - WEST (A 6),13
SINSHEIM - WEST (A 6),SINSHEIM - SUED (A 6),2
SINSHEIM - SUED (A 6),SINSHEIM - STEINSFURT (A 6),3
SINSHEIM - STEINSFURT (A 6),KREUZ KIRCHARDT,9
KREUZ KIRCHARDT,BAD RAPPENAU (A 6),3
BAD RAPPENAU (A 6),HEILBRONN / UNTEREISESHEIM (A 6),10
HEILBRONN / UNTEREISESHEIM (A 6),HEILBRONN / NECKARSULM (A 6),2
HEILBRONN / NECKARSULM (A 6),KREUZ WEINSBERG,6
KREUZ WEINSBERG,BRETZFELD (A 6),9
BRETZFELD (A 6),OEHRINGEN (A 6),6
OEHRINGEN (A 6),NEUENSTEIN (A 6),8
NEUENSTEIN (A 6),KUPFERZELL (A 6),7
KUPFERZELL (A 6),DREIECK SCHWAEBISCH HALL,4
DREIECK SCHWAEBISCH HALL,ILSHOFEN / WOLPERTSHAUSEN (A 6),9
ILSHOFEN / WOLPERTSHAUSEN (A 6),KIRCHBERG (A 6),7
KIRCHBERG (A 6),CRAILSHEIM (A 6),9
CRAILSHEIM (A 6),SCHNELLDORF (A 6),8
SCHNELLDORF (A 6),KREUZ FEUCHTWANGEN / CRAILSHEIM,5
KREUZ FEUCHTWANGEN / CRAILSHEIM,FEUCHTWANGEN - NORD (A 6),5
FEUCHTWANGEN - NORD (A 6),AURACH (A 6),12
AURACH (A 6),HERRIEDEN (A 6),5
HERRIEDEN (A 6),ANSBACH (A 6),6
ANSBACH (A 6),LICHTENAU (A 6),11
LICHTENAU (A 6),NEUENDETTELSAU (A 6),6
NEUENDETTELSAU (A 6),SCHWABACH - WEST (A 6),16
SCHWABACH - WEST (A 6),SCHWABACH - SUED (A 6),4
SCHWABACH - SUED (A 6),KREUZ ROTH,2
KREUZ ROTH,KREUZ NUERNBERG - SUED,7
KREUZ NUERNBERG - SUED,NUERNBERG - LANGWASSER (A 6),3
NUERNBERG - LANGWASSER (A 6),KREUZ NUERNBERG - OST,2
KREUZ NUERNBERG - OST,KREUZ ALTDORF,7
KREUZ ALTDORF,ALTDORF / LEINBURG (A 6),3
ALTDORF / LEINBURG (A 6),ALFELD (A 6),16
ALFELD (A 6),SULZBACH - ROSENBERG (A 6),9
SULZBACH - ROSENBERG (A 6),AMBERG - WEST (A 6),9
AMBERG - WEST (A 6),AMBERG - SUED (A 6),11
AMBERG - SUED (A 6),AMBERG - OST (A 6),5
AMBERG - OST (A 6),SCHMIDGADEN (A 6),7
SCHMIDGADEN (A 6),NABBURG - WEST (A 6),7
NABBURG - WEST (A 6),KREUZ OBERPFAELZER WALD,6
KREUZ OBERPFAELZER WALD,WERNBERG - OST (A 6),3
WERNBERG - OST (A 6),LEUCHTENBERG (A 6),8
LEUCHTENBERG (A 6),VOHENSTRAUSS - WEST (A 6),6
VOHENSTRAUSS - WEST (A 6),VOHENSTRAUSS - OST (A 6),2
VOHENSTRAUSS - OST (A 6),PLEYSTEIN (A 6),5
PLEYSTEIN (A 6),WAIDHAUS (A 6),6
WAIDHAUS (A 6),Bundesgrenze Waidhaus D-CZ (A 6),3
Bundesgrenze Ellund DK-D (A 7),FLENSBURG / HARRISLEE (A 7),4
FLENSBURG / HARRISLEE (A 7),KREUZ FLENSBURG,5
KREUZ FLENSBURG,TARP (A 7),8
TARP (A 7),SCHLESWIG / SCHUBY (A 7),16
SCHLESWIG / SCHUBY (A 7),SCHLESWIG / JAGEL (A 7),6
SCHLESWIG / JAGEL (A 7),OWSCHLAG (A 7),12
OWSCHLAG (A 7),RENDSBURG / BUEDELSDORF (A 7),7
RENDSBURG / BUEDELSDORF (A 7),KREUZ RENDSBURG,6
KREUZ RENDSBURG,WARDER (A 7),12
WARDER (A 7),BORDESHOLM (A 7),7
BORDESHOLM (A 7),DREIECK BORDESHOLM,1
DREIECK BORDESHOLM,NEUMUENSTER - NORD (A 7),12
NEUMUENSTER - NORD (A 7),NEUMUENSTER - MITTE (A 7),3
NEUMUENSTER - MITTE (A 7),NEUMUENSTER - SUED (A 7),5
NEUMUENSTER - SUED (A 7),GROSSENASPE (A 7),11
GROSSENASPE (A 7),BAD BRAMSTEDT (A 7),2
BAD BRAMSTEDT (A 7),KREUZ SCHMALFELD,4
KREUZ SCHMALFELD,KALTENKIRCHEN (A 7),1
KALTENKIRCHEN (A 7),LENTFOEHRDEN (A 7),4
LENTFOEHRDEN (A 7),HENSTEDT - ULZBURG (A 7),4
HENSTEDT - ULZBURG (A 7),ELLERAU (A 7),3
ELLERAU (A 7),QUICKBORN (A 7),7
QUICKBORN (A 7),NORDERSTEDT - MITTE (A 7),4
NORDERSTEDT - MITTE (A 7),HAMBURG - SCHNELSEN - NORD (A 7),1
HAMBURG - SCHNELSEN - NORD (A 7),HAMBURG - SCHNELSEN (A 7),2
HAMBURG - SCHNELSEN (A 7),DREIECK HAMBURG - NORDWEST,2
DREIECK HAMBURG - NORDWEST,HAMBURG - STELLINGEN (A 7),2
HAMBURG - STELLINGEN (A 7),HAMBURG - VOLKSPARK (A 7),2
HAMBURG - VOLKSPARK (A 7),HAMBURG - BAHRENFELD (A 7),1
HAMBURG - BAHRENFELD (A 7),HAMBURG - OTHMARSCHEN (A 7),1
HAMBURG - OTHMARSCHEN (A 7),DREIECK HAMBURG - HAFEN,5
DREIECK HAMBURG - HAFEN,KREUZ HAMBURG - SUEDERELBE,3
KREUZ HAMBURG - SUEDERELBE,HAMBURG - MOORBURG (A 7),1
HAMBURG - MOORBURG (A 7),HAMBURG - HEIMFELD (A 7),2
HAMBURG - HEIMFELD (A 7),DREIECK HAMBURG - SUEDWEST,3
DREIECK HAMBURG - SUEDWEST,HAMBURG - MARMSTORF (A 7),1
HAMBURG - MARMSTORF (A 7),SEEVETAL - FLEESTEDT (A 7),4
SEEVETAL - FLEESTEDT (A 7),MASCHENER KREUZ,3
MASCHENER KREUZ,HORSTER DREIECK,2
HORSTER DREIECK,SEEVETAL - RAMELSLOH (A 7),4
SEEVETAL - RAMELSLOH (A 7),THIESHOPE (A 7),5
THIESHOPE (A 7),GARLSTORF (A 7),8
GARLSTORF (A 7),DREIECK EGESTORF,5
DREIECK EGESTORF,EVENDORF (A 7),4
EVENDORF (A 7),BISPINGEN (A 7),10
BISPINGEN (A 7),SOLTAU - OST (A 7),12
SOLTAU - OST (A 7),SOLTAU - SUED (A 7),7
SOLTAU - SUED (A 7),DORFMARK (A 7),10
DORFMARK (A 7),BAD FALLINGBOSTEL (A 7),7
BAD FALLINGBOSTEL (A 7),DREIECK WALSRODE,7
DREIECK WALSRODE,WESTENHOLZ (A 7),1
WESTENHOLZ (A 7),Raststätte Allertal  (mit Anschlussstelle) (A 7),9
Raststätte Allertal  (mit Anschlussstelle) (A 7),SCHWARMSTEDT (A 7),2
SCHWARMSTEDT (A 7),KREUZ ALLERTAL,1
KREUZ ALLERTAL,BERKHOF (A 7),8
BERKHOF (A 7),MELLENDORF (A 7),7
MELLENDORF (A 7),DREIECK HANNOVER - NORD,2
DREIECK HANNOVER - NORD,GROSSBURGWEDEL (A 7),6
GROSSBURGWEDEL (A 7),ALTWARMBUECHEN (A 7),7
ALTWARMBUECHEN (A 7),KREUZ HANNOVER / KIRCHHORST,1
KREUZ HANNOVER / KIRCHHORST,KREUZ HANNOVER - OST,4
KREUZ HANNOVER - OST,HANNOVER - ANDERTEN (A 7),4
HANNOVER - ANDERTEN (A 7),LAATZEN (A 7),6
LAATZEN (A 7),DREIECK HANNOVER - SUED,1
DREIECK HANNOVER - SUED,HILDESHEIM - DRISPENSTEDT (A 7),15
HILDESHEIM - DRISPENSTEDT (A 7),HILDESHEIM (A 7),3
HILDESHEIM (A 7),Raststätte / Kleinraststätte Hildesheimer Börde (mit Anschlussstelle) (A 7),6
Raststätte / Kleinraststätte Hildesheimer Börde (mit Anschlussstelle) (A 7),DERNEBURG / SALZGITTER (A 7),8
DERNEBURG / SALZGITTER (A 7),DREIECK SALZGITTER,3
DREIECK SALZGITTER,BOCKENEM (A 7),10
BOCKENEM (A 7),RHUEDEN (A 7),6
RHUEDEN (A 7),SEESEN (A 7),7
SEESEN (A 7),ECHTE (A 7),12
ECHTE (A 7),NORTHEIM - NORD (A 7),9
NORTHEIM - NORD (A 7),NORTHEIM - WEST (A 7),5
NORTHEIM - WEST (A 7),NOERTEN - HARDENBERG (A 7),8
NOERTEN - HARDENBERG (A 7),DREIECK GOETTINGEN - NORD,10
DREIECK GOETTINGEN - NORD,GOETTINGEN (A 7),3
GOETTINGEN (A 7),DREIECK DRAMMETAL,8
DREIECK DRAMMETAL,HANNOVERSCH MUENDEN - HEDEMUENDEN (A 7),10
HANNOVERSCH MUENDEN - HEDEMUENDEN (A 7),HANNOVERSCH - MUENDEN / STAUFENBERG - LUTTERBERG (A 7),11
HANNOVERSCH - MUENDEN / STAUFENBERG - LUTTERBERG (A 7),KASSEL - NORD (A 7),9
KASSEL - NORD (A 7),LOSSETALDREIECK,1
LOSSETALDREIECK,KREUZ KASSEL - MITTE,3
KREUZ KASSEL - MITTE,DREIECK KASSEL - SUED,2.5
DREIECK KASSEL - SUED,GUXHAGEN (A 7),7
GUXHAGEN (A 7),MELSUNGEN (A 7),9
MELSUNGEN (A 7),MALSFELD (A 7),4
MALSFELD (A 7),HOMBERG (7) (A 7),10
HOMBERG (7) (A 7),BAD HERSFELD - WEST (A 7),14
BAD HERSFELD - WEST (A 7),KIRCHHEIMER DREIECK,10
KIRCHHEIMER DREIECK,KIRCHHEIM (A 7),1
KIRCHHEIM (A 7),HATTENBACHER DREIECK (Nordteil),4
HATTENBACHER DREIECK (Nordteil),HATTENBACHER DREIECK (O),1
HATTENBACHER DREIECK (O),NIEDERAULA (A 7),4
NIEDERAULA (A 7),Raststätte Großenmoor  (mit Anschlussstelle) (A 7),9
Raststätte Großenmoor  (mit Anschlussstelle) (A 7),HUENFELD / SCHLITZ (A 7),7
HUENFELD / SCHLITZ (A 7),FULDA - NORD (A 7),10
FULDA - NORD (A 7),DREIECK FULDA - MITTE,3
DREIECK FULDA - MITTE,DREIECK FULDA,9
DREIECK FULDA,BAD BRUECKENAU - VOLKERS (A 7),19
BAD BRUECKENAU - VOLKERS (A 7),BAD BRUECKENAU / WILDFLECKEN (A 7),8
BAD BRUECKENAU / WILDFLECKEN (A 7),BAD KISSINGEN / OBERTHULBA (A 7),14
BAD KISSINGEN / OBERTHULBA (A 7),HAMMELBURG (A 7),9
HAMMELBURG (A 7),WASSERLOSEN (A 7),10
WASSERLOSEN (A 7),KREUZ SCHWEINFURT / WERNECK,8
KREUZ SCHWEINFURT / WERNECK,DREIECK GRAMSCHATZ ?,11
DREIECK GRAMSCHATZ ?,GRAMSCHATZER WALD (A 7),2
GRAMSCHATZER WALD (A 7),KREUZ WUERZBURG / ESTENFELD,8
KREUZ WUERZBURG / ESTENFELD,KREUZ BIEBELRIED,10
KREUZ BIEBELRIED,KITZINGEN (A 7),2
KITZINGEN (A 7),MARKTBREIT (A 7),13
MARKTBREIT (A 7),GOLLHOFEN (A 7),8
GOLLHOFEN (A 7),UFFENHEIM - LANGENSTEINACH (A 7),10
UFFENHEIM - LANGENSTEINACH (A 7),BAD WINDSHEIM (A 7),8
BAD WINDSHEIM (A 7),ROTHENBURG (A 7),9
ROTHENBURG (A 7),WOERNITZ (A 7),14
WOERNITZ (A 7),KREUZ FEUCHTWANGEN / CRAILSHEIM,7
KREUZ FEUCHTWANGEN / CRAILSHEIM,FEUCHTWANGEN - WEST (A 7),4
FEUCHTWANGEN - WEST (A 7),DINKELSBUEHL / FICHTENAU (A 7),11
DINKELSBUEHL / FICHTENAU (A 7),ELLWANGEN (A 7),17
ELLWANGEN (A 7),KREUZ AALEN / WESTHAUSEN,8
KREUZ AALEN / WESTHAUSEN,AALEN / OBERKOCHEN (A 7),10
AALEN / OBERKOCHEN (A 7),HEIDENHEIM (A 7),13
HEIDENHEIM (A 7),GIENGEN / HERBRECHTINGEN (A 7),10
GIENGEN / HERBRECHTINGEN (A 7),NIEDERSTOTZINGEN (A 7),6
NIEDERSTOTZINGEN (A 7),KREUZ LANGENAU,11
KREUZ LANGENAU,KREUZ ULM / ELCHINGEN,4
KREUZ ULM / ELCHINGEN,KREUZ NERSINGEN,6
KREUZ NERSINGEN,NEU - ULM (A 7),6
NEU - ULM (A 7),DREIECK HITTISTETTEN,5
DREIECK HITTISTETTEN,VOEHRINGEN (A 7),5
VOEHRINGEN (A 7),ILLERTISSEN - NORD (A 7),4
ILLERTISSEN - NORD (A 7),ILLERTISSEN (A 7),4
ILLERTISSEN (A 7),ALTENSTADT (A 7),8
ALTENSTADT (A 7),DETTINGEN (A 7),5
DETTINGEN (A 7),KREUZ BERKHEIM,8
KREUZ BERKHEIM,KREUZ MEMMINGEN,5
KREUZ MEMMINGEN,MEMMINGEN - SUED (A 7),5
MEMMINGEN - SUED (A 7),WORINGEN (A 7),5
WORINGEN (A 7),BAD GROENENBACH (A 7),5
BAD GROENENBACH (A 7),DIETMANNSRIED (A 7),10
DIETMANNSRIED (A 7),KEMPTEN - LEUBAS (A 7),7
KEMPTEN - LEUBAS (A 7),KEMPTEN (A 7),2
KEMPTEN (A 7),BETZIGAU (A 7),3
BETZIGAU (A 7),DREIECK ALLGAEU,3
DREIECK ALLGAEU,OY - MITTELBERG (A 7),9
OY - MITTELBERG (A 7),NESSELWANG (A 7),5
NESSELWANG (A 7),FUESSEN (A 7),16
FUESSEN (A 7),Bundesgrenze Füssen D-A (A 7),6
DREIECK SAARLOUIS,DILLINGEN - SUED (A 8),1
DILLINGEN - SUED (A 8),SAARLOUIS - STEINRAUSCH (A 8),1
SAARLOUIS - STEINRAUSCH (A 8),NALBACH (A 8),2
NALBACH (A 8),SAARWELLINGEN (A 8),1
SAARWELLINGEN (A 8),SCHWALBACH (A 8),2
SCHWALBACH (A 8),SCHWALBACH / SCHWARZENHOLZ (A 8),4
SCHWALBACH / SCHWARZENHOLZ (A 8),HEUSWEILER (A 8),6
HEUSWEILER (A 8),KREUZ SAARBRUECKEN,6
KREUZ SAARBRUECKEN,MERCHWEILER (A 8),3
MERCHWEILER (A 8),FRIEDRICHSTHAL - BILDSTOCK (A 8),2
FRIEDRICHSTHAL - BILDSTOCK (A 8),DREIECK FRIEDRICHSTHAL,1
DREIECK FRIEDRICHSTHAL,ELVERSBERG (A 8),3
ELVERSBERG (A 8),NEUNKIRCHEN - HEINITZ (A 8),1
NEUNKIRCHEN - HEINITZ (A 8),NEUNKIRCHEN / SPIESEN (A 8),2
NEUNKIRCHEN / SPIESEN (A 8),NEUNKIRCHEN / SPIESEN (A 8),0.5
NEUNKIRCHEN / SPIESEN (A 8),NEUNKIRCHEN - OBERSTADT (A 8),3
NEUNKIRCHEN - OBERSTADT (A 8),NEUNKIRCHEN - WELLESWEILER (A 8),3
NEUNKIRCHEN - WELLESWEILER (A 8),NEUNKIRCHEN - KOHLHOF (A 8),1
NEUNKIRCHEN - KOHLHOF (A 8),KREUZ NEUNKIRCHEN,2
KREUZ NEUNKIRCHEN,LIMBACH (A 8),1
LIMBACH (A 8),HOMBURG - SCHWARZENBACH (A 8),3
HOMBURG - SCHWARZENBACH (A 8),EINOED (A 8),3
EINOED (A 8),ZWEIBRUECKEN - ERNSTWEILER  (Westteil) (A 8),2
ZWEIBRUECKEN - ERNSTWEILER  (Westteil) (A 8),ZWEIBRUECKEN - ERNSTWEILER  (Ostteil) (A 8),1
ZWEIBRUECKEN - ERNSTWEILER  (Ostteil) (A 8),ZWEIBRUECKEN (A 8),1
ZWEIBRUECKEN (A 8),ZWEIBRUECKEN - IXHEIM (A 8),2
ZWEIBRUECKEN - IXHEIM (A 8),CONTWIG (A 8),3
CONTWIG (A 8),WALSHAUSEN (A 8),6
WALSHAUSEN (A 8),PIRMASENS (A 8),6
PIRMASENS (A 8),DREIECK KARLSRUHE,200
DREIECK KARLSRUHE,KARLSBAD (A 8),5
KARLSBAD (A 8),PFORZHEIM - WEST (A 8),13
PFORZHEIM - WEST (A 8),PFORZHEIM - NORD (A 8),5
PFORZHEIM - NORD (A 8),PFORZHEIM - OST (A 8),4
PFORZHEIM - OST (A 8),PFORZHEIM - SUED (A 8),5
PFORZHEIM - SUED (A 8),HEIMSHEIM (A 8),9
HEIMSHEIM (A 8),KREUZ RUTESHEIM,6
KREUZ RUTESHEIM,LEONBERG - WEST (A 8),6
LEONBERG - WEST (A 8),DREIECK LEONBERG,2
DREIECK LEONBERG,LEONBERG - OST (A 8),1
LEONBERG - OST (A 8),KREUZ STUTTGART,7
KREUZ STUTTGART,STUTTGART - MOEHRINGEN (Westteil) (A 8),6
STUTTGART - MOEHRINGEN (Westteil) (A 8),STUTTGART - MOEHRINGEN (Ostteil) (A 8),0.5
STUTTGART - MOEHRINGEN (Ostteil) (A 8),KREUZ STUTTGART - DEGERLOCH,1
KREUZ STUTTGART - DEGERLOCH,STUTTGART - FLUGHAFEN / MESSE  (Westteil) (A 8),0.5
STUTTGART - FLUGHAFEN / MESSE  (Westteil) (A 8),STUTTGART - FLUGHAFEN / MESSE (Ostteil) (A 8),2
STUTTGART - FLUGHAFEN / MESSE (Ostteil) (A 8),STUTTGART - PLIENINGEN (A 8),2
STUTTGART - PLIENINGEN (A 8),NEUHAUSEN (A 8),2
NEUHAUSEN (A 8),ESSLINGEN (A 8),1
ESSLINGEN (A 8),WENDLINGEN (A 8),6
WENDLINGEN (A 8),KIRCHHEIM - WEST (A 8),7
KIRCHHEIM - WEST (A 8),KIRCHHEIM - OST (A 8),2
KIRCHHEIM - OST (A 8),KREUZ KIRCHHEIM,3
KREUZ KIRCHHEIM,AICHELBERG (A 8),4
AICHELBERG (A 8),Raststätte Gruibingen Am Kornberg (mit Anschlussstelle) (A 8),7
